,Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location,BASIC_COLOUR,BODY_TYPE,CC_RATING,MAKE,ORIGINAL_COUNTRY,VEHICLE_TYPE,VEHICLE_YEAR
630,WHITE,YAMAHA,XT,1993,ROADBIKE,13/02/2022,NORTHLAND,BLUE,MOTORCYCLE,591,YAMAHA,JAPAN,MOTORCYCLE,1988
631,WHITE,MOPED,ELITE STAR 50,2011,MOPED,3/01/2022,CANTERBURY,YELLOW,MOTORCYCLE,50,MOPED,CHINA,MOPED,2011
632,ORANGE,KTM,EXC,2004,ROADBIKE,13/02/2022,NORTHLAND,ORANGE,MOTORCYCLE,400,KTM,AUSTRIA,MOTORCYCLE,2000
633,BLACK,PIAGGIO,ZIP,2013,MOPED,20/01/2022,WELLINGTON,BLUE,MOTORCYCLE,49,PIAGGIO,ITALY,MOPED,2001
634,BLACK,HONDA,WW,2013,ROADBIKE,13/10/2021,AUCKLAND CITY,RED,MOTORCYCLE,153,HONDA,THAILAND,MOTORCYCLE,2012
635,WHITE,KTM,390,2013,ROADBIKE,7/01/2022,AUCKLAND CITY,RED,TRACTOR,4007,MASSEY FERGUSON,UNITED KINGDOM,TRACTOR,1993
636,CREAM,FORZA,CAPRI,2014,MOPED,8/02/2022,AUCKLAND CITY,BLUE,SALOON,1998,FORD,UNITED KINGDOM,PASSENGER CAR/VAN,1974
637,BLACK,PIAGGIO,ZIP,2014,MOPED,2/02/2022,AUCKLAND CITY,BLUE,MOTORCYCLE,49,PIAGGIO,ITALY,MOPED,2001
638,BLUE,YAMAHA,YZF-R6Y,2014,ROADBIKE,22/12/2021,CANTERBURY,BLUE,MOTORCYCLE,599,YAMAHA,JAPAN,MOTORCYCLE,2008
639,BLUE,YAMAHA,YZF-R6W,2008,ROADBIKE,11/01/2022,COUNTIES/MANUKAU,BLUE,MOTORCYCLE,599,YAMAHA,JAPAN,MOTORCYCLE,2007
640,RED,FACTORY BUILT,TAOTAO,2015,MOPED,17/11/2021,CANTERBURY,RED,MOTORCYCLE,49,FACTORY BUILT,CHINA,MOPED,2016
641,SILVER,TRAILER,FACTORY BUILT,2003,TRAILER - HEAVY,13/10/2021,CANTERBURY,RED,OTHER COMMERCIAL TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1988
642,BLACK,HARLEY DAVIDSON,FXDC,2008,ROADBIKE,5/04/2022,COUNTIES/MANUKAU,BLACK,MOTORCYCLE,1340,HARLEY DAVIDSON,UNITED STATES,MOTORCYCLE,1992
643,BLACK,HARLEY DAVIDSON,XL,2007,ROADBIKE,23/03/2022,WELLINGTON,RED,MOTORCYCLE,1000,HARLEY DAVIDSON,UNITED STATES,MOTORCYCLE,1975
644,BLACK,PIAGGIO,VESPA,2005,ROADBIKE,8/12/2021,TASMAN,GREY,MOTORCYCLE,200,PIAGGIO,ITALY,MOTORCYCLE,1997
645,RED,HONDA,SCV,2011,ROADBIKE,9/11/2021,WAIKATO,BLUE,MOTORCYCLE,102,HONDA,JAPAN,MOTORCYCLE,2010
646,BLACK,SUZUKI,GSR,2011,ROADBIKE,18/03/2022,COUNTIES/MANUKAU,BLUE,SPORTS CAR,1367,SUBARU,JAPAN,PASSENGER CAR/VAN,1972
647,ORANGE,KTM,EXC,2011,ROADBIKE,7/01/2022,AUCKLAND CITY,ORANGE,MOTORCYCLE,400,KTM,AUSTRIA,MOTORCYCLE,2000
648,BLACK,HYOSUNG,GV250,2012,ROADBIKE,17/11/2021,WAITEMATA,RED,MOTORCYCLE,250,HYOSUNG,SOUTH KOREA,MOTORCYCLE,2005
649,WHITE,PIAGGIO,ZIP,2012,MOPED,6/02/2022,AUCKLAND CITY,BLUE,MOTORCYCLE,49,PIAGGIO,ITALY,MOPED,2001
650,BLACK,VMOTO,MOTORCYCLE,2010,MOPED,2/12/2021,BAY OF PLENTY,BLUE,MOTORCYCLE,650,BMW,GERMANY,MOTORCYCLE,1987
651,BLACK,SUZUKI,VZ800,2006,ROADBIKE,22/11/2021,WAITEMATA,BLUE,MOTORCYCLE,799,SUZUKI,JAPAN,MOTORCYCLE,1999
652,GREEN,SUZUKI,VL800,2007,ROADBIKE,30/01/2022,COUNTIES/MANUKAU,BLACK,MOTORCYCLE,800,SUZUKI,JAPAN,MOTORCYCLE,2006
653,RED,PGO,LIGERO,2014,MOPED,20/10/2021,CANTERBURY,RED,MOTORCYCLE,49,PGO,TAIWAN,MOPED,2011
654,BLACK,KTM,390,2014,ROADBIKE,30/12/2021,WAIKATO,RED,TRACTOR,4007,MASSEY FERGUSON,UNITED KINGDOM,TRACTOR,1993
655,BLACK,TNT MOTOR,ROMA,2015,MOPED,19/01/2022,COUNTIES/MANUKAU,WHITE,CARAVAN,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1978
656,BLACK,VICTORY,VEGAS,2013,ROADBIKE,14/10/2021,SOUTHERN,BLACK,MOTORCYCLE,1640,VICTORY,UNITED STATES,MOTORCYCLE,2009
657,SILVER,TRAILER,LOCAL,2002,BOAT TRAILER,30/03/2022,WAIKATO,CREAM,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1957
658,RED,HONDA,SCV,2010,ROADBIKE,9/12/2021,TASMAN,BLUE,MOTORCYCLE,102,HONDA,JAPAN,MOTORCYCLE,2010
659,SILVER,YAMAHA,MOTORCYCLE,2011,MOPED,16/11/2021,CANTERBURY,BLUE,MOTORCYCLE,650,BMW,GERMANY,MOTORCYCLE,1987
660,YELLOW,HONDA,TODAY,2011,MOPED,3/01/2022,COUNTIES/MANUKAU,YELLOW,MOTORCYCLE,49,HONDA,JAPAN,MOPED,2002
661,BLUE,YAMAHA,YZF,2013,ROADBIKE,27/03/2022,WELLINGTON,WHITE,MOTORCYCLE,750,YAMAHA,JAPAN,MOTORCYCLE,1993
662,BLACK,PGO,PMX,2013,MOPED,4/01/2022,NORTHLAND,BLACK,MOTORCYCLE,49,PGO,TAIWAN,MOPED,2002
663,WHITE,HUSQVARNA,FE,2014,ROADBIKE,10/02/2022,CANTERBURY,GREEN,SELF PROPELLED CARAVAN,7412,HINO,JAPAN,MOTOR CARAVAN,1996
664,BLACK,SUZUKI,GSX750F,2008,ROADBIKE,14/03/2022,NORTHLAND,BLACK,MOTORCYCLE,748,SUZUKI,JAPAN,MOTORCYCLE,1996
665,BLACK,FACTORY BUILT,SHENKE,2014,MOPED,16/11/2021,CANTERBURY,BLUE,MOTORCYCLE,50,FACTORY BUILT,CHINA,MOPED,2012
666,YELLOW,MOPED,ORION SCOOTER,2009,MOPED,10/01/2022,WELLINGTON,YELLOW,MOTORCYCLE,49,MOPED,CHINA,MOPED,2009
667,BLUE,PIAGGIO,VESPA ET2 50,2005,MOPED,5/02/2022,WAITEMATA,SILVER,MOTORCYCLE,49,PIAGGIO,ITALY,MOPED,2002
668,BLUE,YAMAHA,CV50,2011,MOPED,11/01/2022,WELLINGTON,BLACK,MOTORCYCLE,49,YAMAHA,TAIWAN,MOPED,2005
669,RED,SUZUKI,GW250,2013,ROADBIKE,27/01/2022,AUCKLAND CITY,RED,MOTORCYCLE,248,SUZUKI,CHINA,MOTORCYCLE,2012
670,GREY,APRILIA,RSV,2002,ROADBIKE,4/03/2022,SOUTHERN,BLACK,MOTORCYCLE,1000,APRILIA,ITALY,MOTORCYCLE,2002
671,BLACK,HONDA,CBR,2014,ROADBIKE,26/03/2022,BAY OF PLENTY,BLACK,MOTORCYCLE,998,HONDA,JAPAN,MOTORCYCLE,1998
672,RED,HONDA,PIONEER 500,2014,ALL TERRAIN VEHICLE,2/03/2022,CANTERBURY,RED,MOTORCYCLE,475,HONDA,UNITED STATES,ATV,2014
673,RED,OVER,THOR,2015,MOPED,27/11/2021,WELLINGTON,WHITE,CARAVAN,0,TRAILER,UNITED STATES,TRAILER/CARAVAN,2005
674,GREEN,TRAILER,O'LEARY 8' X 5',2002,TRAILER,11/01/2022,EASTERN,GREEN,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2002
675,GREEN,BRIFORD,8X4 TANDEM,2002,TRAILER,23/02/2022,CANTERBURY,YELLOW,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,1985
676,BLACK,MOPED,VMOTO MILAN,2010,MOPED,18/12/2021,COUNTIES/MANUKAU,BLACK,MOTORCYCLE,49,MOPED,CHINA,MOPED,2008
677,SILVER,KEEWAY,CRUISER,2011,ROADBIKE,27/11/2021,WAIKATO,WHITE,SALOON,283,STUDEBAKER,NOT KNOWN,PASSENGER CAR/VAN,1965
678,BLACK,APRILIA,DORSODURO,2012,ROADBIKE,22/01/2022,AUCKLAND CITY,BLACK,MOTORCYCLE,750,APRILIA,ITALY,MOTORCYCLE,2009
679,BLACK,PIAGGIO,FLY,2012,ROADBIKE,26/11/2021,AUCKLAND CITY,SILVER,MOTORCYCLE,124,PIAGGIO,ITALY,MOTORCYCLE,2008
680,BLACK,SUZUKI,GSX-R600,2012,ROADBIKE,22/11/2021,AUCKLAND CITY,WHITE,MOTORCYCLE,598,SUZUKI,JAPAN,MOTORCYCLE,1999
681,RED,HONDA,CRF,2013,ROADBIKE,13/11/2021,WELLINGTON,GREEN,MOTORCYCLE,1340,HARLEY DAVIDSON,UNITED STATES,MOTORCYCLE,1972
682,BLUE,HUSABERG,FE,2014,ROADBIKE,18/12/2021,WELLINGTON,GREEN,SELF PROPELLED CARAVAN,7412,HINO,JAPAN,MOTOR CARAVAN,1996
683,GREEN,HONDA,NBC,2013,ROADBIKE,17/10/2021,EASTERN,RED,MOTORCYCLE,109,HONDA,CHINA,MOTORCYCLE,2015
684,BLACK,TNT MOTOR,ROMA,2014,MOPED,14/03/2022,BAY OF PLENTY,WHITE,CARAVAN,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1978
685,WHITE,HONDA,NSC,2014,ROADBIKE,17/01/2022,AUCKLAND CITY,BLACK,MOTORCYCLE,108,HONDA,CHINA,MOTORCYCLE,2012
686,BLACK,HARLEY DAVIDSON,SOFTAIL,2007,ROADBIKE,25/10/2021,CENTRAL,BLACK,MOTORCYCLE,1340,HARLEY DAVIDSON,UNITED STATES,MOTORCYCLE,1994
687,BLUE,HONDA,ZOOMER,2006,MOPED,27/02/2022,WAITEMATA,ORANGE,MOTORCYCLE,49,HONDA,JAPAN,MOPED,2003
688,SILVER,HONDA,NSC,2015,ROADBIKE,15/12/2021,WAITEMATA,BLACK,MOTORCYCLE,108,HONDA,CHINA,MOTORCYCLE,2012
689,WHITE,HONDA,CB,1993,ROADBIKE,7/03/2022,WAITEMATA,BLUE,MOTORCYCLE,395,HONDA,JAPAN,MOTORCYCLE,1980
690,RED,SYM,DD50,2011,MOPED,3/04/2022,CENTRAL,RED,MOTORCYCLE,49,FACTORY BUILT,TAIWAN,MOPED,2005
691,BLACK,SUZUKI,AN125,2011,ROADBIKE,9/03/2022,AUCKLAND CITY,RED,MOTORCYCLE,124,SUZUKI,CHINA,MOTORCYCLE,2008
692,RED,MOPED,JM STAR SUNNY 50,2011,MOPED,12/11/2021,CANTERBURY,YELLOW,MOTORCYCLE,50,MOPED,CHINA,MOPED,2007
693,BLACK,YAMAHA,VINO,2008,MOPED,13/03/2022,WAIKATO,BLUE,MOTORCYCLE,49,YAMAHA,JAPAN,MOPED,2001
694,BLUE,SUZUKI,DR,2001,ROADBIKE,6/12/2021,WELLINGTON,ORANGE,MOTORCYCLE,396,SUZUKI,JAPAN,MOTORCYCLE,1984
695,BLACK,YAMAHA,YW50,2013,MOPED,19/01/2022,AUCKLAND CITY,BLACK,MOTORCYCLE,49,YAMAHA,JAPAN,MOPED,1997
696,RED,TRACTOR,VALTRA N92,2013,TRACTOR,4/11/2021,NORTHLAND,RED,TRACTOR,4400,TRACTOR,OTHER,TRACTOR,2008
697,WHITE,HONDA,DJ1,1988,MOPED,13/01/2022,AUCKLAND CITY,YELLOW,MOTORCYCLE,50,HONDA,JAPAN,MOPED,1989
698,BLUE,HONDA,GLH,2014,ROADBIKE,7/03/2022,AUCKLAND CITY,BLUE,MOTORCYCLE,124,HONDA,CHINA,MOTORCYCLE,2017
699,RED,HONDA,TODAY 50,2007,MOPED,19/10/2021,BAY OF PLENTY,RED,MOTORCYCLE,50,HONDA,JAPAN,MOPED,2008
700,WHITE,KAWASAKI,EX,2014,ROADBIKE,28/03/2022,COUNTIES/MANUKAU,RED,MOTORCYCLE,248,KAWASAKI,JAPAN,MOTORCYCLE,1996
701,BLACK,TNT MOTOR,GRIDO,2014,MOPED,25/01/2022,WAIKATO,BLACK,MOTORCYCLE,50,TNT MOTOR,CHINA,MOPED,2015
702,BLACK,TNT MOTOR,OTTO,2015,MOPED,14/03/2022,AUCKLAND CITY,BLACK,OTHER COMMERCIAL TRAILER,0,TRAILER,AUSTRALIA,TRAILER/CARAVAN,2002
703,BLACK,BUELL,XB12R,2006,ROADBIKE,20/02/2022,WAITEMATA,RED,MOTORCYCLE,1200,BUELL,UNITED STATES,MOTORCYCLE,2003
704,WHITE,SUZUKI,DR650SE,2010,ROADBIKE,24/03/2022,AUCKLAND CITY,WHITE,MOTORCYCLE,650,SUZUKI,JAPAN,MOTORCYCLE,2000
705,RED,HONDA,CT,2012,ROADBIKE,1/02/2022,WAIKATO,GREEN,MOTORCYCLE,110,HONDA,JAPAN,MOTORCYCLE,1986
706,BLACK,PIAGGIO,ZIP,2013,MOPED,27/03/2022,WELLINGTON,BLUE,MOTORCYCLE,49,PIAGGIO,ITALY,MOPED,2001
707,RED,VESPA,PX,2013,ROADBIKE,9/10/2021,COUNTIES/MANUKAU,BLACK,MOTORCYCLE,200,VESPA,ITALY,MOTORCYCLE,1989
708,SILVER,SUZUKI,UZ,2013,MOPED,1/04/2022,CANTERBURY,GREY,MOTORCYCLE,124,SUZUKI,TAIWAN,MOTORCYCLE,2008
709,RED,YAMAHA,YZF-R6V,2006,ROADBIKE,11/11/2021,EASTERN,BLUE,MOTORCYCLE,599,YAMAHA,JAPAN,MOTORCYCLE,2007
710,WHITE,PIAGGIO,VESPA,2014,ROADBIKE,31/01/2022,AUCKLAND CITY,GREY,MOTORCYCLE,200,PIAGGIO,ITALY,MOTORCYCLE,1997
711,BLACK,HYOSUNG,GV650,2014,ROADBIKE,8/03/2022,WAIKATO,BLACK,MOTORCYCLE,647,HYOSUNG,SOUTH KOREA,MOTORCYCLE,2012
712,WHITE,YAMAHA,XJ6,2014,ROADBIKE,19/03/2022,COUNTIES/MANUKAU,GREY,SALOON,5665,JAGUAR,UNITED KINGDOM,PASSENGER CAR/VAN,1993
713,BLACK,PGO,LIGERO,2015,MOPED,29/12/2021,NORTHLAND,RED,MOTORCYCLE,49,PGO,TAIWAN,MOPED,2011
714,BLUE,FORD,COURIER,2001,UTILITY,6/03/2022,SOUTHERN,RED,UTILITY,2606,FORD,JAPAN,GOODS VAN/TRUCK/UTILITY,1997
715,GREEN,FORD,COURIER,2001,UTILITY,7/12/2021,TASMAN,RED,UTILITY,2606,FORD,JAPAN,GOODS VAN/TRUCK/UTILITY,1997
716,SILVER,NISSAN,NAVARA,2001,UTILITY,21/12/2021,AUCKLAND CITY,YELLOW,UTILITY,2960,NISSAN,JAPAN,GOODS VAN/TRUCK/UTILITY,1996
717,GREEN,TOYOTA,CYNOS,1991,SALOON,17/02/2022,COUNTIES/MANUKAU,GREEN,SALOON,1496,TOYOTA,JAPAN,PASSENGER CAR/VAN,1992
718,BLUE,NISSAN,NAVARA,2001,UTILITY,27/12/2021,WAIKATO,YELLOW,UTILITY,2960,NISSAN,JAPAN,GOODS VAN/TRUCK/UTILITY,1996
719,BLUE,NISSAN,AVENIR,1992,STATIONWAGON,8/10/2021,SOUTHERN,WHITE,STATION WAGON,1596,NISSAN,JAPAN,PASSENGER CAR/VAN,1991
720,SILVER,NISSAN,NAVARA,2001,UTILITY,15/02/2022,NORTHLAND,YELLOW,UTILITY,2960,NISSAN,JAPAN,GOODS VAN/TRUCK/UTILITY,1996
721,GOLD,FORD,MONDEO,2001,SALOON,3/12/2021,SOUTHERN,RED,SALOON,1753,FORD,BELGIUM,PASSENGER CAR/VAN,1997
722,WHITE,MITSUBISHI,LANCER,2000,SALOON,29/12/2021,WAIKATO,GREEN,HATCHBACK,1597,MITSUBISHI,JAPAN,PASSENGER CAR/VAN,1996
723,SILVER,MITSUBISHI,PAJERO,2001,STATIONWAGON,14/02/2022,COUNTIES/MANUKAU,SILVER,STATION WAGON,2835,MITSUBISHI,JAPAN,PASSENGER CAR/VAN,1994
724,RED,HOLDEN,VX COMMODORE,2001,SALOON,9/11/2021,WAITEMATA,BLUE,STATION WAGON,5665,HOLDEN,AUSTRALIA,PASSENGER CAR/VAN,2001
725,RED,SUBARU,IMPREZA,1995,STATIONWAGON,19/01/2022,COUNTIES/MANUKAU,WHITE,SALOON,1597,SUBARU,JAPAN,PASSENGER CAR/VAN,1993
726,WHITE,FORD,COURIER,2001,UTILITY,16/01/2022,EASTERN,RED,UTILITY,2606,FORD,JAPAN,GOODS VAN/TRUCK/UTILITY,1997
727,BLUE,NISSAN,SUNNY,1994,SALOON,1/04/2022,WELLINGTON,YELLOW,SPORTS CAR,1171,DATSUN,JAPAN,PASSENGER CAR/VAN,1971
728,BLACK,NISSAN,PRIMERA,1991,SALOON,8/10/2021,SOUTHERN,WHITE,SALOON,1838,NISSAN,JAPAN,PASSENGER CAR/VAN,1991
729,SILVER,TOYOTA,PREVIA,2001,STATIONWAGON,21/10/2021,COUNTIES/MANUKAU,WHITE,STATION WAGON,2438,TOYOTA,JAPAN,PASSENGER CAR/VAN,1994
730,BLUE,TOYOTA,HILUX,1996,STATIONWAGON,21/12/2021,BAY OF PLENTY,RED,UTILITY,2779,TOYOTA,JAPAN,GOODS VAN/TRUCK/UTILITY,1994
731,SILVER,TOYOTA,HILUX,2001,UTILITY,22/12/2021,BAY OF PLENTY,RED,UTILITY,2779,TOYOTA,JAPAN,GOODS VAN/TRUCK/UTILITY,1994
732,RED,FORD,FREDA,1996,STATIONWAGON,15/03/2022,AUCKLAND CITY,GREEN,STATION WAGON,2490,FORD,JAPAN,PASSENGER CAR/VAN,1995
733,WHITE,MAZDA,BOUNTY,2001,UTILITY,5/12/2021,SOUTHERN,SILVER,UTILITY,2499,MAZDA,THAILAND,GOODS VAN/TRUCK/UTILITY,2004
734,GREY,NISSAN,SKYLINE,1994,SALOON,31/01/2022,EASTERN,BLACK,SALOON,1998,NISSAN,JAPAN,PASSENGER CAR/VAN,1986
735,BLUE,FORD,COURIER,2001,UTILITY,25/01/2022,WAITEMATA,RED,UTILITY,2606,FORD,JAPAN,GOODS VAN/TRUCK/UTILITY,1997
736,GREEN,TOYOTA,EMINA,1994,STATIONWAGON,14/01/2022,EASTERN,GREEN,STATION WAGON,2430,TOYOTA,JAPAN,PASSENGER CAR/VAN,1993
737,SILVER,TOYOTA,CERES,1994,SALOON,26/11/2021,CANTERBURY,WHITE,FLAT-DECK TRUCK,2367,KIA,SOUTH KOREA,GOODS VAN/TRUCK/UTILITY,1997
738,GOLD,FORD,FALCON,2001,SALOON,19/12/2021,BAY OF PLENTY,BLACK,SALOON,3984,FORD,AUSTRALIA,PASSENGER CAR/VAN,1994
739,WHITE,DAIHATSU,DELTA,2001,OTHER TRUCK,17/10/2021,COUNTIES/MANUKAU,GREEN,OTHER TRUCK,2765,DAIHATSU,JAPAN,GOODS VAN/TRUCK/UTILITY,1996
740,BLACK,NISSAN,SKYLINE,1993,SALOON,17/03/2022,COUNTIES/MANUKAU,BLACK,SALOON,1998,NISSAN,JAPAN,PASSENGER CAR/VAN,1986
741,BLUE,FORD,COURIER,2001,UTILITY,24/03/2022,WELLINGTON,RED,UTILITY,2606,FORD,JAPAN,GOODS VAN/TRUCK/UTILITY,1997
742,RED,MITSUBISHI,LANCER,1996,SALOON,10/12/2021,AUCKLAND CITY,GREEN,HATCHBACK,1597,MITSUBISHI,JAPAN,PASSENGER CAR/VAN,1996
743,WHITE,MITSUBISHI,LANCER,1994,SALOON,5/12/2021,CANTERBURY,GREEN,HATCHBACK,1597,MITSUBISHI,JAPAN,PASSENGER CAR/VAN,1996
744,GREEN,HONDA,CRV,2001,LIGHT VAN,1/11/2021,WELLINGTON,RED,LIGHT VAN,2000,HONDA,JAPAN,PASSENGER CAR/VAN,1997
745,GREY,NISSAN,PRIMERA,1992,SALOON,2/12/2021,CANTERBURY,WHITE,SALOON,1838,NISSAN,JAPAN,PASSENGER CAR/VAN,1991
746,RED,HOLDEN,ZAFIRA,2001,STATIONWAGON,16/11/2021,COUNTIES/MANUKAU,WHITE,STATION WAGON,2198,HOLDEN,GERMANY,PASSENGER CAR/VAN,2001
747,BLUE,MAZDA,323,2001,HATCHBACK,6/12/2021,COUNTIES/MANUKAU,PURPLE,SALOON,1840,MAZDA,JAPAN,PASSENGER CAR/VAN,1996
748,RED,HONDA,CIVIC,2001,HATCHBACK,24/03/2022,WAIKATO,SILVER,HATCHBACK,1493,HONDA,JAPAN,PASSENGER CAR/VAN,1995
749,RED,TOYOTA,SCEPTER,1995,STATIONWAGON,20/03/2022,CANTERBURY,RED,STATION WAGON,2163,TOYOTA,JAPAN,PASSENGER CAR/VAN,1994
750,RED,TOYOTA,COROLLA,2001,HATCHBACK,31/03/2022,BAY OF PLENTY,RED,HATCHBACK,1296,TOYOTA,JAPAN,PASSENGER CAR/VAN,1993
751,BLUE,NISSAN,PULSAR,1995,SALOON,23/03/2022,CENTRAL,GREEN,SALOON,1596,NISSAN,JAPAN,PASSENGER CAR/VAN,1991
752,WHITE,NISSAN,CONDOR,1996,OTHER TRUCK,2/02/2022,WAITEMATA,WHITE,FLAT-DECK TRUCK,6920,NISSAN,JAPAN,GOODS VAN/TRUCK/UTILITY,1989
753,WHITE,NISSAN,NAVARA,1998,UTILITY,11/01/2022,AUCKLAND CITY,YELLOW,UTILITY,2960,NISSAN,JAPAN,GOODS VAN/TRUCK/UTILITY,1996
754,WHITE,HOLDEN,VX COMMODORE,2001,SALOON,16/03/2022,SOUTHERN,BLUE,STATION WAGON,5665,HOLDEN,AUSTRALIA,PASSENGER CAR/VAN,2001
755,BLUE,HOLDEN,VU UTILITY,2002,UTILITY,21/01/2022,WAIKATO,BLACK,UTILITY,5665,HOLDEN,AUSTRALIA,GOODS VAN/TRUCK/UTILITY,2002
756,BLUE,NISSAN,CEFIRO,1997,SALOON,18/02/2022,CENTRAL,BLUE,SALOON,1990,NISSAN,JAPAN,PASSENGER CAR/VAN,1988
757,BLUE,HOLDEN,VX COMMODORE,2001,STATIONWAGON,27/12/2021,WAIKATO,BLUE,STATION WAGON,5665,HOLDEN,AUSTRALIA,PASSENGER CAR/VAN,2001
758,SILVER,MITSUBISHI,TRITON,2002,UTILITY,30/12/2021,NORTHLAND,YELLOW,OTHER COMMERCIAL TRAILER,0,TRITON,NOT KNOWN,TRAILER/CARAVAN,1984
759,WHITE,HOLDEN,RODEO 4X2,2001,UTILITY,28/01/2022,CENTRAL,GREY,UTILITY,2499,HOLDEN,JAPAN,GOODS VAN/TRUCK/UTILITY,1996
760,WHITE,FORD,COURIER,2001,UTILITY,5/02/2022,COUNTIES/MANUKAU,RED,UTILITY,2606,FORD,JAPAN,GOODS VAN/TRUCK/UTILITY,1997
761,SILVER,SUBARU,IMPREZA,1994,STATIONWAGON,31/03/2022,AUCKLAND CITY,WHITE,SALOON,1597,SUBARU,JAPAN,PASSENGER CAR/VAN,1993
762,BLUE,FORD,KA,2001,HATCHBACK,30/01/2022,CANTERBURY,BLUE,OTHER TRUCK,3519,BEDFORD,NOT KNOWN,GOODS VAN/TRUCK/UTILITY,1970
763,GREEN,TOYOTA,HIACE,2002,LIGHT VAN,3/11/2021,WELLINGTON,WHITE,LIGHT VAN,1990,TOYOTA,JAPAN,GOODS VAN/TRUCK/UTILITY,1990
764,WHITE,TOYOTA,HIACE,1996,LIGHT VAN,4/11/2021,BAY OF PLENTY,WHITE,LIGHT VAN,1990,TOYOTA,JAPAN,GOODS VAN/TRUCK/UTILITY,1990
765,GREEN,NISSAN,PRIMERA,2002,SALOON,17/12/2021,WAITEMATA,WHITE,SALOON,1838,NISSAN,JAPAN,PASSENGER CAR/VAN,1991
766,SILVER,HOLDEN,VX COMMODORE,2002,SALOON,2/11/2021,NORTHLAND,BLUE,STATION WAGON,5665,HOLDEN,AUSTRALIA,PASSENGER CAR/VAN,2001
767,RED,HOLDEN,VX COMMODORE,2002,SALOON,28/12/2021,CENTRAL,BLUE,STATION WAGON,5665,HOLDEN,AUSTRALIA,PASSENGER CAR/VAN,2001
768,RED,FORD,ESCAPE,2002,STATIONWAGON,27/12/2021,CENTRAL,BLUE,STATION WAGON,2967,FORD,JAPAN,PASSENGER CAR/VAN,2001
769,WHITE,TOYOTA,HIACE,1996,LIGHT VAN,11/03/2022,CANTERBURY,WHITE,LIGHT VAN,1990,TOYOTA,JAPAN,GOODS VAN/TRUCK/UTILITY,1990
770,GREY,MITSUBISHI,L200,2001,UTILITY,22/02/2022,AUCKLAND CITY,RED,UTILITY,2972,MITSUBISHI,JAPAN,GOODS VAN/TRUCK/UTILITY,1993
771,BLACK,FORD,FALCON,2002,SALOON,21/03/2022,CANTERBURY,BLACK,SALOON,3984,FORD,AUSTRALIA,PASSENGER CAR/VAN,1994
772,RED,TOYOTA,ECHO,2002,HATCHBACK,18/10/2021,AUCKLAND CITY,WHITE,HATCHBACK,1298,TOYOTA,JAPAN,PASSENGER CAR/VAN,2003
773,WHITE,TOYOTA,AQUA,2015,HATCHBACK,17/03/2022,WELLINGTON,GREY,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1985
774,GREEN,ISUZU,BIGHORN,1992,STATIONWAGON,23/02/2022,WAITEMATA,BLACK,STATION WAGON,3165,ISUZU,JAPAN,PASSENGER CAR/VAN,1992
775,BLUE,FORD,COURIER,2002,UTILITY,11/03/2022,CANTERBURY,RED,UTILITY,2606,FORD,JAPAN,GOODS VAN/TRUCK/UTILITY,1997
776,GOLD,NISSAN,SAFARI,1992,STATIONWAGON,20/01/2022,WAITEMATA,SILVER,UTILITY,3661,NISSAN,JAPAN,GOODS VAN/TRUCK/UTILITY,1987
777,WHITE,HYUNDAI,H100,2002,LIGHT VAN,17/10/2021,AUCKLAND CITY,GOLD,TRACTOR,5850,INTERNATIONAL,NOT KNOWN,TRACTOR,1975
778,RED,MAZDA,BOUNTY,2002,UTILITY,2/01/2022,BAY OF PLENTY,SILVER,UTILITY,2499,MAZDA,THAILAND,GOODS VAN/TRUCK/UTILITY,2004
779,RED,MAZDA,BOUNTY,2002,UTILITY,12/01/2022,BAY OF PLENTY,SILVER,UTILITY,2499,MAZDA,THAILAND,GOODS VAN/TRUCK/UTILITY,2004
780,SILVER,FORD,ESCAPE,2002,STATIONWAGON,28/02/2022,BAY OF PLENTY,BLUE,STATION WAGON,2967,FORD,JAPAN,PASSENGER CAR/VAN,2001
781,GREY,NISSAN,PULSAR,1996,SALOON,25/11/2021,EASTERN,GREEN,SALOON,1596,NISSAN,JAPAN,PASSENGER CAR/VAN,1991
782,WHITE,TOYOTA,HIACE,2002,LIGHT VAN,20/02/2022,WELLINGTON,WHITE,LIGHT VAN,1990,TOYOTA,JAPAN,GOODS VAN/TRUCK/UTILITY,1990
783,BLUE,SUBARU,LEGACY,2002,STATIONWAGON,22/01/2022,SOUTHERN,BROWN,SALOON,1994,SUBARU,JAPAN,PASSENGER CAR/VAN,1989
784,SILVER,FORD,COURIER,2002,UTILITY,12/03/2022,BAY OF PLENTY,RED,UTILITY,2606,FORD,JAPAN,GOODS VAN/TRUCK/UTILITY,1997
