,Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location,BASIC_COLOUR,BODY_TYPE,CC_RATING,MAKE,ORIGINAL_COUNTRY,VEHICLE_TYPE,VEHICLE_YEAR
91,SILVER,HOMEBUILT,TRAILER,1996,TRAILER,24/03/2022,AUCKLAND CITY,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
92,SILVER,TRAILER,COMPASS-C85,2018,TRAILER,18/03/2022,AUCKLAND CITY,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2019
93,SILVER,TITAN,DOMESTIC TRAILER,2018,TRAILER,28/12/2021,COUNTIES/MANUKAU,GREY,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1986
94,SILVER,CUSTOMBUILT,TANDEM,1985,TRAILER,13/01/2022,COUNTIES/MANUKAU,GREEN,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1977
95,RED,HONDA,VT,2005,ROADBIKE,19/03/2022,COUNTIES/MANUKAU,WHITE,MOTORCYCLE,250,HONDA,JAPAN,MOTORCYCLE,1989
96,BLUE,HONDA,CBR,2000,ROADBIKE,31/01/2022,CANTERBURY,BLACK,MOTORCYCLE,998,HONDA,JAPAN,MOTORCYCLE,1998
97,BLACK,TRAILER,HOMEBUILT,2022,TRAILER,14/02/2022,COUNTIES/MANUKAU,RED,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1981
98,GREY,TRAILER,JETSKI ACTION LAB,2021,BOAT TRAILER,30/12/2021,WAIKATO,GREY,BOAT TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2019
99,SILVER,TRAILER,HOMEBUILT,2000,TRAILER,29/01/2022,CENTRAL,RED,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1981
100,BLACK,HOMEBUILT,TRAILER,2022,TRAILER,12/03/2022,BAY OF PLENTY,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
101,WHITE,TRAILER,MARTIN ENGINEERING,1998,TRAILER,28/03/2022,COUNTIES/MANUKAU,WHITE,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,1998
102,SILVER,TRAILER,TUFF,2018,TRAILER,22/11/2021,BAY OF PLENTY,SILVER,DOMESTIC TRAILER,0,TRAILER,CHINA,TRAILER/CARAVAN,2016
103,BROWN,TRAILER,LOCAL,1977,TRAILER,3/12/2021,BAY OF PLENTY,CREAM,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1957
104,SILVER,TRAILER,8X4 TRAYLA,2018,TRAILER - HEAVY,1/02/2022,CENTRAL,GREY,OTHER COMMERCIAL TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2008
105,BLUE,TRAILER,HOMEMADE,1980,TRAILER,20/03/2022,TASMAN,GREEN,OTHER COMMERCIAL TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1993
106,WHITE,TRAILER,NYMIC,2018,TRAILER - HEAVY,3/04/2022,CANTERBURY,GREY,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2014
107,SILVER,TRAILER,TRAILER,2022,TRAILER,9/02/2022,AUCKLAND CITY,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
108,GREY,TRAILER,TANDEM,2019,TRAILER,23/02/2022,WELLINGTON,GREEN,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1977
109,SILVER,TRAILER,COMPASS-D116K,2022,TRAILER,15/03/2022,CENTRAL,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2019
110,RED,HARLEY DAVIDSON,FXSTDI,2004,ROADBIKE,16/01/2022,COUNTIES/MANUKAU,BLACK,MOTORCYCLE,1450,HARLEY DAVIDSON,UNITED STATES,MOTORCYCLE,2001
111,GREY,TRAILER,LOCAL,1967,TRAILER,19/10/2021,CANTERBURY,CREAM,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1957
112,WHITE,CARAVAN,SWIFT CHARISMA 230,2006,CARAVAN,27/02/2022,WAITEMATA,WHITE,CARAVAN,0,CARAVAN,UNITED KINGDOM,TRAILER/CARAVAN,2009
