date,open,high,low,close,volume,average,barCount,GLD,UVXY,SQQQ,CVX,RIO,NUE,LWAY,TSN,NTR,ADM,HYG,SRLN,JNK,EWH,GBTC,USO,DIA,QQQ,IWM,IEF,SIVR,FXB,FXE,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres
2018-06-19,274.0,275.75,273.53,275.5,601685.77,274.7135,266416,120.8,517.0,1340.0,125.54,54.95,65.47,6.18,70.8,52.77,46.07,85.99,47.17,107.6508,24.71,11.0,105.12,246.88,176.0,168.61,102.145,15.89,127.88,111.14,275.174,280.8415,269.5065,274.837,41.8219,273.44,277.48,273.44,277.48
2018-06-20,276.27,276.72,275.59,275.97,350089.97,276.1645,159877,120.26,500.5,1307.0,125.29,55.07,65.88,6.04,70.13,52.31,46.17,86.08,47.15,107.7708,24.86,10.9,106.24,246.46,177.25,169.97,101.82,15.87,127.95,111.15,275.342,280.8935,269.7905,274.8754,43.8212,273.44,277.48,273.44,277.48
2018-06-21,275.96,275.98,273.68,274.24,527420.4,274.5995,231864,120.05,549.0,1342.0,122.59,54.72,64.87,5.85,69.27,52.75,46.0,85.9,47.16,107.5608,24.39,10.7,106.48,244.5,175.71,168.38,102.09,15.89,128.53,111.44,275.386,280.8877,269.8843,274.8445,38.5675,273.44,277.48,273.44,277.48
2018-06-22,275.66,275.79,274.49,274.74,386994.31,275.212,174888,120.34,527.0,1355.0,125.1,55.46,66.2,5.74,69.38,53.69,46.53,85.91,47.16,107.5908,24.63,10.1,112.16,245.69,175.32,167.82,102.11,16.02,128.69,111.9,275.483,280.8661,270.0999,274.8409,40.7774,273.44,277.48,273.44,277.48
2018-06-25,273.44,273.62,269.1,271.0,981200.2,270.934,406478,119.89,642.0,1442.0,122.61,54.12,63.46,5.74,69.83,53.96,46.26,85.71,47.14,107.3507,24.3,9.8,110.16,242.31,171.37,165.08,102.25,15.91,128.84,112.28,275.4255,280.9718,269.8792,274.5323,31.6158,270.36,272.02,270.36,272.02
2018-06-26,271.64,272.56,270.79,271.6,552277.18,271.764,243879,119.26,605.0,1427.0,124.16,55.11,64.12,5.99,70.47,54.61,46.23,85.7,47.17,107.3507,24.38,9.23,114.16,242.67,172.07,166.04,102.3,15.87,128.29,111.74,275.5545,280.5959,270.5131,274.4054,34.171,270.36,272.02,270.36,272.02
2018-06-27,272.26,273.87,269.18,269.35,771747.39,271.2745,329284,118.58,657.5,1483.0,126.0,54.94,62.99,5.55,69.28,53.73,46.27,85.52,47.14,107.0807,23.96,8.52,117.2,241.12,169.73,163.38,102.69,15.62,127.24,110.88,275.3915,280.9839,269.7991,274.1172,29.6907,269.0,270.36,269.0,270.36
2018-06-28,269.29,271.75,268.49,270.89,604914.9,270.0215,289354,118.22,642.0,1446.0,125.66,55.52,62.7,5.06,69.26,53.38,46.19,85.28,47.09,106.6907,24.2,8.94,118.88,242.08,171.19,163.88,102.59,15.585,126.88,110.97,275.389,280.9894,269.7886,273.9792,35.8869,270.36,272.02,270.36,272.02
2018-06-29,272.12,273.66,271.19,271.28,598339.14,272.51,254144,118.65,617.0,1439.0,126.43,55.48,62.5,5.03,68.85,54.38,45.83,85.08,46.97,106.4506,24.21,8.53,120.48,242.73,171.65,163.77,102.51,15.66,128.08,112.06,275.273,281.108,269.438,273.8696,37.3917,270.36,272.02,270.36,272.02
2018-07-02,269.51,272.04,269.24,271.86,481303.86,270.5215,214594,117.46,618.5,1406.0,124.25,53.96,62.85,4.42,66.42,53.77,45.23,84.78,46.79,105.9406,23.87,10.2,119.68,242.73,172.8,164.9,102.25,15.43,127.4,111.47,275.121,281.1423,269.0997,273.806,39.6599,270.36,272.02,270.36,272.02
2018-07-03,272.87,272.98,270.42,270.9,299437.23,271.8795,136478,118.65,626.0,1456.0,124.73,53.8,61.68,4.37,66.83,54.32,45.66,84.79,46.8,106.0006,23.89,10.01,119.36,241.66,170.8,164.96,102.51,15.555,127.765,111.8,274.911,281.2073,268.6147,273.75,37.2541,270.36,272.02,270.36,272.02
2018-07-05,272.16,273.18,270.96,273.11,415116.44,272.2825,197419,119.05,593.0,1402.0,123.98,54.08,63.0,4.63,67.29,53.49,46.34,85.11,46.89,106.4206,23.92,10.05,118.24,243.55,172.92,166.84,102.52,15.61,128.3,112.18,274.6965,280.931,268.462,273.7333,45.4566,273.09,273.44,273.09,273.44
2018-07-06,273.14,275.84,272.71,275.42,470061.12,274.9675,204266,118.86,549.5,1340.0,124.14,54.65,63.34,4.54,67.01,54.01,46.71,85.33,46.96,106.6907,24.18,10.23,119.68,244.6,175.61,168.25,102.61,15.6,128.75,112.68,274.599,280.7232,268.4748,273.7816,52.4532,273.44,277.48,273.44,277.48
2018-07-09,276.55,277.96,276.5,277.9,326034.84,277.353,158061,119.15,503.5,1301.0,125.99,55.97,64.17,4.5,66.63,53.63,47.27,85.46,47.0,106.8707,24.55,10.3,120.24,247.84,177.19,169.31,102.35,15.69,128.59,112.68,274.5845,280.6759,268.4931,273.8619,58.5941,277.48,279.16,277.48,279.16
2018-07-10,278.41,279.01,278.08,278.9,380668.64,278.639,155679,118.93,491.0,1299.0,127.59,56.21,64.73,4.45,66.67,54.34,47.94,85.47,47.02,106.8707,24.46,9.27,120.56,249.23,177.32,168.54,102.27,15.64,128.74,112.69,274.6015,280.739,268.464,273.974,60.793,277.48,279.16,277.48,279.16
2018-07-11,277.14,278.04,276.52,276.86,563548.89,277.2535,233436,117.64,514.5,1320.0,123.52,53.38,63.92,4.45,66.0,52.51,47.85,85.34,47.05,106.7807,24.16,9.35,114.48,247.08,176.42,167.11,102.48,15.38,128.09,111.96,274.4985,280.4075,268.5895,274.066,54.4414,273.44,277.48,273.44,277.48
2018-07-12,278.27,279.43,277.6,279.37,427824.44,278.7865,182865,118.13,488.5,1253.0,124.26,54.05,63.87,4.62,65.96,53.05,47.9,85.61,47.07,107.0807,24.4,9.31,115.12,249.3,179.46,167.92,102.44,15.52,128.21,111.99,274.5655,280.6606,268.4704,274.1913,59.9815,279.16,280.4,279.16,280.4
2018-07-13,279.19,279.93,278.66,279.59,369539.22,279.5235,159838,117.61,480.5,1249.0,124.04,54.0,64.12,4.42,66.3,53.07,47.57,85.61,47.08,107.0807,24.43,9.24,115.76,250.2,179.61,167.42,102.61,15.38,128.42,112.05,274.6085,280.8313,268.3857,274.2993,60.4357,279.16,280.4,279.16,280.4
2018-07-16,279.64,279.81,278.84,279.34,303328.72,279.295,131636,117.55,475.5,1259.0,122.98,53.64,64.01,4.17,65.86,52.74,47.17,85.55,47.09,106.9907,24.41,10.3,111.52,250.67,179.18,166.77,102.44,15.375,128.41,112.32,274.719,281.1905,268.2475,274.3807,59.6079,279.16,280.4,279.16,280.4
2018-07-17,278.47,280.91,278.41,280.47,399920.68,280.0505,168943,116.28,466.5,1234.0,121.91,54.24,64.62,4.21,65.56,52.7,47.72,85.58,47.09,107.0807,24.36,11.49,111.6,251.28,180.27,167.51,102.38,15.17,127.27,111.87,274.9145,281.8184,268.0106,274.5077,62.1327,280.4,281.15,280.4,281.15
2018-07-18,280.59,281.18,280.06,281.06,300227.11,280.783,126747,116.31,459.5,1242.0,121.53,54.94,65.61,3.96,64.5,52.3,47.31,85.62,47.09,107.1707,24.27,10.83,112.8,252.03,179.93,167.98,102.3,15.15,126.91,111.66,275.1925,282.5979,267.7871,274.6087,63.4184,280.4,281.15,280.4,281.15
2018-07-19,280.31,280.74,279.46,280.0,443417.06,280.155,184894,115.81,473.5,1262.0,121.67,53.63,64.67,4.03,64.9,52.0,47.25,85.58,47.1,107.1107,24.14,10.95,113.04,250.79,179.03,169.17,102.58,14.91,126.17,111.6,275.394,283.0868,267.7012,274.7287,59.509,279.16,280.4,279.16,280.4
2018-07-20,279.76,280.48,279.5,279.68,432835.29,279.953,179298,116.56,476.5,1264.0,122.27,53.84,66.25,3.92,64.12,52.45,47.12,85.62,47.14,107.1407,24.39,11.0,113.2,250.44,178.99,168.48,102.22,15.1,127.44,112.47,275.666,283.5585,267.7735,274.834,58.3398,279.16,280.4,279.16,280.4
